,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Length,Word2_Length,Freq_Per_Mil1,Log_Freq_Per_Mil1,Freq_Per_Mil2,Log_Freq_Per_Mil2,Syll_Delta,Freq_Delta,Length_Delta
805,particular,distinguished,4,3,10,13,27.9,3.1535,6.18,2.4997,1,0.6538000000000004,-3
806,distinct,distinguished,2,3,8,13,3.04,2.1931,6.18,2.4997,-1,-0.3066,-5
807,conspicuous,distinguished,4,3,11,13,1.47,1.8808,6.18,2.4997,1,-0.6188999999999998,-2
808,outstanding,distinguished,3,3,11,13,7.45,2.5809,6.18,2.4997,0,0.08120000000000038,-2
809,particular,exceptional,4,4,10,11,27.9,3.1535,2.92,2.1761,0,0.9774000000000003,-1
810,particular,special,4,2,10,7,27.9,3.1535,148.57,3.8796,2,-0.7260999999999997,3
811,concrete,special,2,2,8,7,7.43,2.5798,148.57,3.8796,0,-1.2997999999999998,1
812,differential,special,4,2,12,7,0.86,1.6532,148.57,3.8796,2,-2.2264,5
813,distinguished,special,3,2,13,7,6.18,2.4997,148.57,3.8796,1,-1.3799000000000001,6
814,particular,respective,4,3,10,10,27.9,3.1535,0.8,1.6232,1,1.5303000000000002,0
815,individual,respective,5,3,10,10,11.69,2.776,0.8,1.6232,2,1.1527999999999998,0
816,particular,critical,4,3,10,8,27.9,3.1535,12.25,2.7966,1,0.3569,2
817,important,critical,3,3,9,8,207.59,4.0248,12.25,2.7966,0,1.2281999999999997,1
818,dangerous,critical,3,3,9,8,74.84,3.5818,12.25,2.7966,0,0.7851999999999997,1
819,particular,separate,4,3,10,8,27.9,3.1535,21.71,3.0445,1,0.10899999999999999,2
820,alone,separate,2,3,5,8,308.53,4.1969,21.71,3.0445,-1,1.1524,-3
821,cleave,separate,1,3,6,8,0.2,1.0414,21.71,3.0445,-2,-2.0031,-2
822,differentiate,separate,5,3,13,8,0.33,1.2553,21.71,3.0445,2,-1.7892000000000001,5
823,dissociate,separate,4,3,10,8,0.04,0.4771,21.71,3.0445,1,-2.5674,2
824,particular,minute,4,2,10,6,27.9,3.1535,377.49,4.2845,2,-1.1310000000000002,4
825,ugly,deformed,2,2,4,8,42.16,3.3326,1.29,1.8261,0,1.5064999999999997,-4
826,ugly,repulsive,2,3,4,9,42.16,3.3326,2.02,2.017,-1,1.3155999999999999,-5
827,competent,qualified,3,3,9,9,2.43,2.0969,8.25,2.6253,0,-0.5284,0
828,limited,qualified,3,3,7,9,11.0,2.7497,8.25,2.6253,0,0.12439999999999962,-2
829,plain,bare,1,1,5,4,21.82,3.0469,8.33,2.6294,0,0.4175,1
830,naked,bare,2,1,5,4,39.25,3.3017,8.33,2.6294,1,0.6722999999999999,1
831,stripped,bare,1,1,8,4,3.59,2.2648,8.33,2.6294,0,-0.3645999999999998,4
832,plain,sheer,1,1,5,5,21.82,3.0469,4.57,2.3692,0,0.6776999999999997,0
833,plain,intelligible,1,5,5,12,21.82,3.0469,0.06,0.6021,-4,2.4448,-7
834,plain,open,1,2,5,4,21.82,3.0469,320.41,4.2133,-1,-1.1664000000000003,1
835,honest,open,2,2,6,4,72.33,3.567,320.41,4.2133,0,-0.6463000000000001,2
836,accessible,open,4,2,10,4,1.1,1.7559,320.41,4.2133,2,-2.4574000000000003,6
837,overt,open,2,2,5,4,0.27,1.1761,320.41,4.2133,0,-3.0372000000000003,1
838,susceptible,open,4,2,11,4,1.27,1.8195,320.41,4.2133,2,-2.3938000000000006,7
839,pregnant,open,2,2,8,4,52.02,3.4239,320.41,4.2133,0,-0.7894000000000001,4
840,level,open,2,2,5,4,51.63,3.4206,320.41,4.2133,0,-0.7927000000000004,1
841,exposed,open,2,2,7,4,10.55,2.7316,320.41,4.2133,0,-1.4817000000000005,3
842,unresolved,open,3,2,10,4,0.82,1.6335,320.41,4.2133,1,-2.5798000000000005,6
843,full,copious,1,3,4,7,166.9,3.9301,0.18,1.0,-2,2.9301,-3
844,full,complete,1,2,4,8,166.9,3.9301,51.69,3.4211,-1,0.5089999999999999,-4
845,close,complete,1,2,5,8,219.43,4.0489,51.69,3.4211,-1,0.6277999999999997,-3
846,dead,complete,1,2,4,8,448.98,4.3598,51.69,3.4211,-1,0.9386999999999999,-4
847,regular,complete,3,2,7,8,33.86,3.2375,51.69,3.4211,1,-0.1836000000000002,-1
848,good,complete,1,2,4,8,2610.14,5.1242,51.69,3.4211,-1,1.7031,-4
849,finished,complete,2,2,8,8,83.71,3.6304,51.69,3.4211,0,0.20929999999999982,0
850,dispatch,complete,2,2,8,8,6.86,2.5453,51.69,3.4211,0,-0.8757999999999999,0
851,mature,complete,2,2,6,8,8.22,2.6232,51.69,3.4211,0,-0.7978999999999998,-2
852,full,total,1,2,4,5,166.9,3.9301,37.65,3.2835,-1,0.6465999999999998,-1
853,universal,total,4,2,9,5,5.86,2.4771,37.65,3.2835,2,-0.8064,4
854,number,total,2,2,6,5,240.94,4.0895,37.65,3.2835,0,0.806,1
855,straight,square,1,1,8,6,122.43,3.7955,31.76,3.2098,0,0.5857000000000001,2
856,place,square,1,1,5,6,602.67,4.4877,31.76,3.2098,0,1.2779000000000003,-1
857,slapdash,sloppy,2,2,8,6,0.08,0.699,5.88,2.4786,0,-1.7796000000000003,2
858,renowned,wonderful,2,3,8,9,1.31,1.8325,164.0,3.9225,-1,-2.09,-1
859,beautiful,wonderful,3,3,9,9,279.73,4.1543,164.0,3.9225,0,0.23180000000000023,0
860,astonishing,wonderful,4,3,11,9,1.71,1.9445,164.0,3.9225,1,-1.978,2
861,extraordinary,wonderful,5,3,13,9,15.12,2.8876,164.0,3.9225,2,-1.0349,4
862,renowned,eminent,2,3,8,7,1.31,1.8325,1.65,1.9294,-1,-0.09689999999999999,1
863,routine,round,2,1,7,5,19.84,3.0056,66.53,3.5307,1,-0.5251000000000001,2
864,circular,round,3,1,8,5,1.59,1.9138,66.53,3.5307,2,-1.6169,3
865,global,round,2,1,6,5,6.29,2.5079,66.53,3.5307,1,-1.0228000000000002,1
866,routine,everyday,2,3,7,8,19.84,3.0056,10.88,2.7451,-1,0.26049999999999995,-1
867,mundane,everyday,2,3,7,8,0.8,1.6232,10.88,2.7451,-1,-1.1219,-1
868,mere,entire,1,3,4,6,7.86,2.6042,79.8,3.6097,-2,-1.0055,-2
869,total,entire,2,3,5,6,37.65,3.2835,79.8,3.6097,-1,-0.32620000000000005,-1
870,simple,entire,2,3,6,6,89.31,3.6586,79.8,3.6097,-1,0.04889999999999972,0
871,undivided,entire,4,3,9,6,0.92,1.6812,79.8,3.6097,1,-1.9285,3
872,different,distinct,3,2,9,8,209.53,4.0289,3.04,2.1931,1,1.8358000000000003,1
873,clear,distinct,1,2,5,8,171.82,3.9427,3.04,2.1931,-1,1.7496,-3
874,several,distinct,2,2,7,8,38.78,3.2964,3.04,2.1931,0,1.1033000000000004,-1
875,incompetent,inefficient,4,4,11,11,3.8,2.29,0.41,1.3424,0,0.9476,0
876,ineffective,inefficient,4,4,11,11,0.59,1.4914,0.41,1.3424,0,0.14900000000000002,0
877,incompetent,unfit,4,2,11,5,3.8,2.29,1.55,1.9031,2,0.3869,6
878,incapable,unfit,4,2,9,5,3.39,2.2405,1.55,1.9031,2,0.3373999999999999,4
879,accidental,casual,4,3,10,6,3.0,2.1875,7.31,2.5729,1,-0.3854000000000002,4
880,occasional,casual,4,3,10,6,3.9,2.301,7.31,2.5729,1,-0.27190000000000003,4
881,everyday,casual,3,3,8,6,10.88,2.7451,7.31,2.5729,0,0.1721999999999997,2
882,nonchalant,casual,3,3,10,6,0.37,1.301,7.31,2.5729,0,-1.2719000000000003,4
883,,void,1,1,3,4,0.53,1.4472,4.1,2.3222,0,-0.875,-1
884,invalidate,void,4,1,10,4,0.35,1.2788,4.1,2.3222,3,-1.0434,6
885,nullify,void,3,1,7,4,0.31,1.2304,4.1,2.3222,2,-1.0918,3
886,novel,modern,2,2,5,6,10.06,2.711,18.24,2.9689,0,-0.25790000000000024,-1
887,innovative,modern,4,2,10,6,1.02,1.7243,18.24,2.9689,2,-1.2446000000000002,4
888,advanced,modern,2,2,8,6,8.84,2.6551,18.24,2.9689,0,-0.3138000000000001,2
889,novel,rare,2,1,5,4,10.06,2.711,21.31,3.0366,1,-0.3256000000000001,1
890,exquisite,rare,3,1,9,4,4.18,2.3304,21.31,3.0366,2,-0.7061999999999999,5
891,scarce,rare,1,1,6,4,1.71,1.9445,21.31,3.0366,0,-1.0921,2
892,novel,unusual,2,4,5,7,10.06,2.711,23.73,3.0831,-2,-0.3721000000000001,-2
893,peculiar,unusual,3,4,8,7,7.55,2.5866,23.73,3.0831,-1,-0.49650000000000016,1
894,abnormal,unusual,3,4,8,7,2.9,2.1732,23.73,3.0831,-1,-0.9098999999999999,1
895,exceptional,unusual,4,4,11,7,2.92,2.1761,23.73,3.0831,0,-0.907,4
896,dense,compact,1,2,5,7,2.12,2.0374,1.69,1.9395,-1,0.09789999999999988,-2
897,dense,close,1,1,5,5,2.12,2.0374,219.43,4.0489,0,-2.0115,0
898,intimate,close,3,1,8,5,6.96,2.5514,219.43,4.0489,2,-1.4974999999999996,3
899,thick,close,1,1,5,5,13.98,2.8537,219.43,4.0489,0,-1.1951999999999998,0
900,secretive,close,3,1,9,5,1.33,1.8388,219.43,4.0489,2,-2.2100999999999997,4
901,near,close,1,1,4,5,83.1,3.6273,219.43,4.0489,0,-0.42159999999999975,-1
902,home,close,1,1,4,5,774.33,4.5965,219.43,4.0489,0,0.5476000000000001,-1
903,dense,opaque,1,2,5,6,2.12,2.0374,0.12,0.8451,-1,1.1923,-1
904,mysterious,incomprehensible,4,6,10,16,15.0,2.8842,0.82,1.6335,-2,1.2507,-6
905,dark,hopeless,1,2,4,8,88.61,3.6551,8.94,2.6599,-1,0.9952000000000001,-4
906,dark,sullen,1,2,4,6,88.61,3.6551,0.57,1.4771,-1,2.178,-2
907,dark,moody,1,2,4,5,88.61,3.6551,2.25,2.0645,-1,1.5906000000000002,-1
908,sullen,moody,2,2,6,5,0.57,1.4771,2.25,2.0645,0,-0.5873999999999997,1
909,dark,coloured,1,2,4,8,88.61,3.6551,1.57,1.9085,-1,1.7466,-4
910,dark,shadow,1,2,4,6,88.61,3.6551,21.18,3.0338,-1,0.6213000000000002,-2
911,short,scanty,1,2,5,6,85.63,3.6403,0.02,0.301,-1,3.3392999999999997,-1
912,short,little,1,2,5,6,85.63,3.6403,1446.39,4.8679,-1,-1.2275999999999998,-1
913,petty,little,2,2,5,6,8.59,2.6425,1446.39,4.8679,0,-2.2253999999999996,-1
914,short,brittle,1,2,5,7,85.63,3.6403,1.39,1.8573,-1,1.783,-2
915,short,abrupt,1,2,5,6,85.63,3.6403,1.14,1.7709,-1,1.8694,-1
916,sharp,abrupt,1,2,5,6,23.78,3.0842,1.14,1.7709,-1,1.3133000000000001,-1
917,sudden,abrupt,2,2,6,6,33.47,3.2325,1.14,1.7709,0,1.4616,0
918,short,insufficient,1,4,5,12,85.63,3.6403,1.06,1.7404,-3,1.8999,-7
919,busy,engaged,2,2,4,7,106.53,3.7351,26.02,3.1232,0,0.6118999999999999,-3
920,busy,anxious,2,2,4,7,106.53,3.7351,14.1,2.8573,0,0.8778000000000001,-3
921,apprehensive,anxious,4,2,12,7,0.55,1.4624,14.1,2.8573,2,-1.3949,5
922,jealous,anxious,2,2,7,7,38.27,3.2907,14.1,2.8573,0,0.43340000000000023,0
923,ardent,passionate,2,3,6,10,0.59,1.4914,6.0,2.4871,-1,-0.9956999999999998,-4
924,fiery,passionate,3,3,5,10,2.02,2.017,6.0,2.4871,0,-0.47009999999999996,-5
925,ardent,keen,2,1,6,4,0.59,1.4914,4.47,2.3598,1,-0.8683999999999998,2
926,sharp,keen,1,1,5,4,23.78,3.0842,4.47,2.3598,0,0.7244000000000002,1
927,dry,keen,1,1,3,4,42.82,3.3395,4.47,2.3598,0,0.9797000000000002,-1
928,sinful,corrupt,2,2,6,7,1.71,1.9445,5.31,2.4346,0,-0.4901000000000002,-1
929,wicked,corrupt,2,2,6,7,13.29,2.8319,5.31,2.4346,0,0.3973,-1
930,vicious,corrupt,2,2,7,7,8.59,2.6425,5.31,2.4346,0,0.20789999999999997,0
931,dishonest,corrupt,3,2,9,7,2.59,2.1239,5.31,2.4346,1,-0.3107000000000002,2
932,sinister,corrupt,3,2,8,7,2.18,2.0492,5.31,2.4346,1,-0.3854000000000002,1
933,depraved,corrupt,2,2,8,7,1.27,1.8195,5.31,2.4346,0,-0.6151000000000002,1
934,sinful,ungodly,2,3,6,7,1.71,1.9445,0.59,1.4914,-1,0.45309999999999984,-1
935,wicked,ungodly,2,3,6,7,13.29,2.8319,0.59,1.4914,-1,1.3405,-1
936,sinful,criminal,2,3,6,8,1.71,1.9445,34.47,3.2453,-1,-1.3008,-2
937,illicit,criminal,3,3,7,8,0.71,1.5682,34.47,3.2453,0,-1.6770999999999998,-1
938,sinful,wrong,2,1,6,5,1.71,1.9445,523.1,4.4262,1,-2.4817,1
939,mistaken,wrong,3,1,8,5,12.82,2.8162,523.1,4.4262,2,-1.6099999999999999,3
940,vital,essential,2,3,5,9,7.76,2.5988,4.84,2.3945,-1,0.20430000000000037,-4
941,formal,essential,2,3,6,9,8.31,2.6284,4.84,2.3945,-1,0.23390000000000022,-3
942,requisite,essential,3,3,9,9,0.37,1.301,4.84,2.3945,0,-1.0935,0
943,crucial,essential,2,3,7,9,4.59,2.3711,4.84,2.3945,-1,-0.023399999999999643,-2
944,necessary,essential,4,3,9,9,45.98,3.3703,4.84,2.3945,1,0.9758,0
945,vital,viable,2,3,5,6,7.76,2.5988,2.37,2.0864,-1,0.5124000000000004,-1
946,provincial,narrow,3,2,10,6,0.92,1.6812,7.02,2.5551,1,-0.8738999999999999,4
947,hungry,poor,2,1,6,4,77.08,3.5946,129.08,3.8185,1,-0.2239,2
948,miserable,poor,4,1,9,4,21.49,3.0402,129.08,3.8185,3,-0.7782999999999998,5
949,destitute,poor,3,1,9,4,0.71,1.5682,129.08,3.8185,2,-2.2502999999999997,5
950,foul,poor,1,1,4,4,14.47,2.8686,129.08,3.8185,0,-0.9499,0
951,pitiful,poor,3,1,7,4,3.84,2.2945,129.08,3.8185,2,-1.5239999999999996,3
952,needy,poor,2,1,5,4,3.04,2.1931,129.08,3.8185,1,-1.6254,1
953,wretched,poor,2,1,8,4,3.63,2.2695,129.08,3.8185,1,-1.549,4
954,civil,courteous,2,3,5,9,15.94,2.9106,1.22,1.7993,-1,1.1113000000000002,-4
955,clever,smart,2,1,6,5,27.27,3.1436,96.25,3.6911,1,-0.5474999999999999,1
956,bright,smart,1,1,6,5,44.41,3.3553,96.25,3.6911,0,-0.3357999999999999,1
957,fresh,smart,1,1,5,5,54.51,3.4442,96.25,3.6911,0,-0.24690000000000012,0
958,clever,ingenious,2,3,6,9,27.27,3.1436,2.12,2.0374,-1,1.1062000000000003,-3
959,aristocratic,blue,5,1,12,4,0.73,1.5798,102.39,3.7179,4,-2.1381,8
960,grim,blue,1,1,4,4,4.78,2.3892,102.39,3.7179,0,-1.3287,0
961,drab,blue,1,1,4,4,0.8,1.6232,102.39,3.7179,0,-2.0947000000000005,0
962,condescending,patronizing,4,4,13,11,1.29,1.8261,1.1,1.7559,0,0.07020000000000004,2
963,senior,elderly,2,3,6,7,26.25,3.1271,4.1,2.3222,-1,0.8049,-1
964,robust,forceful,2,2,6,8,0.71,1.5682,0.86,1.6532,0,-0.08499999999999996,-2
965,violent,forceful,3,2,7,8,16.67,2.9299,0.86,1.6532,1,1.2767,-1
966,energetic,forceful,4,2,9,8,1.29,1.8261,0.86,1.6532,2,0.17290000000000005,1
967,robust,muscular,2,3,6,8,0.71,1.5682,1.55,1.9031,-1,-0.3349,-2
968,brawny,muscular,2,3,6,8,0.18,1.0,1.55,1.9031,-1,-0.9031,-2
969,comical,amusing,3,3,7,7,0.82,1.6335,9.2,2.6721,0,-1.0386,0
970,comic,amusing,2,3,5,7,10.82,2.7427,9.2,2.6721,-1,0.07060000000000022,-2
971,witty,amusing,2,3,5,7,3.2,2.2148,9.2,2.6721,-1,-0.45730000000000004,-2
972,pleasant,amusing,2,3,8,7,21.02,3.0306,9.2,2.6721,-1,0.35850000000000026,1
973,comical,comic,3,2,7,5,0.82,1.6335,10.82,2.7427,1,-1.1092000000000002,2
974,funny,comic,2,2,5,5,218.18,4.0464,10.82,2.7427,0,1.3037,0
975,amusing,comic,3,2,7,5,9.2,2.6721,10.82,2.7427,1,-0.07060000000000022,2
976,sentimental,romantic,4,3,11,8,7.04,2.5563,35.18,3.2541,1,-0.6978000000000004,3
977,fictional,romantic,3,3,9,8,1.39,1.8573,35.18,3.2541,0,-1.3968000000000003,1
978,lively,gay,2,1,6,3,4.06,2.3181,59.08,3.4791,1,-1.161,3
979,lively,vigorous,2,3,6,8,4.06,2.3181,0.69,1.5563,-1,0.7617999999999998,-2
980,athletic,vigorous,3,3,8,8,3.86,2.2967,0.69,1.5563,0,0.7404,0
981,healthy,vigorous,2,3,7,8,24.75,3.1014,0.69,1.5563,-1,1.5451,-1
982,lively,vivacious,2,3,6,9,4.06,2.3181,0.25,1.1461,-1,1.172,-3
983,heinous,atrocious,2,3,7,9,1.61,1.9191,0.69,1.5563,-1,0.3628,-2
984,grating,harsh,2,1,7,5,0.31,1.2304,7.1,2.5599,1,-1.3295,2
985,rude,harsh,1,1,4,5,22.06,3.0515,7.1,2.5599,0,0.49160000000000004,-1
986,blunt,harsh,1,1,5,5,4.9,2.3997,7.1,2.5599,0,-0.16019999999999968,0
987,cruel,harsh,2,1,5,5,18.35,2.9717,7.1,2.5599,1,0.41179999999999994,0
988,raspy,harsh,2,1,5,5,0.16,0.9542,7.1,2.5599,1,-1.6056999999999997,0
989,discordant,harsh,3,1,10,5,0.31,1.2304,7.1,2.5599,2,-1.3295,5
990,far,remote,1,2,3,6,220.76,4.0515,13.98,2.8537,-1,1.1978,-3
991,monetary,financial,4,3,8,9,1.02,1.7243,15.24,2.891,1,-1.1667,-1
992,rude,uncivil,1,3,4,7,22.06,3.0515,0.06,0.6021,-2,2.4494,-3
993,disrespectful,uncivil,4,3,13,7,2.06,2.0253,0.06,0.6021,1,1.4232,6
994,rude,bloody,1,2,4,6,22.06,3.0515,38.47,3.2929,-1,-0.24140000000000006,-2
995,beautiful,bloody,3,2,9,6,279.73,4.1543,38.47,3.2929,1,0.8614000000000002,3
996,murderous,bloody,3,2,9,6,1.82,1.9731,38.47,3.2929,1,-1.3197999999999999,3
997,equal,corresponding,2,4,5,13,13.37,2.8344,0.57,1.4771,-2,1.3573,-8
998,proportional,corresponding,4,4,12,13,0.27,1.1761,0.57,1.4771,0,-0.30100000000000016,-1
999,equal,uniform,2,3,5,7,13.37,2.8344,24.82,3.1028,-1,-0.26839999999999975,-2
1000,steady,uniform,2,3,6,7,22.71,3.0641,24.82,3.1028,-1,-0.03869999999999996,-1
1001,equal,unbiased,2,3,5,8,13.37,2.8344,0.29,1.2041,-1,1.6303,-3
1002,equal,indifferent,2,3,5,11,13.37,2.8344,1.14,1.7709,-1,1.0635000000000001,-6
1003,apathetic,indifferent,4,3,9,11,0.35,1.2788,1.14,1.7709,1,-0.4921,-2
1004,equal,fellow,2,2,5,6,13.37,2.8344,58.57,3.4754,0,-0.641,-1
1005,equal,parallel,2,3,5,8,13.37,2.8344,4.39,2.3522,-1,0.4822000000000002,-3
1006,equal,equitable,2,4,5,9,13.37,2.8344,0.35,1.2788,-2,1.5556,-4
1007,equal,coordinate,2,4,5,10,13.37,2.8344,2.55,2.1173,-2,0.7170999999999998,-5
1008,adapt,coordinate,2,4,5,10,2.63,2.1303,2.55,2.1173,-2,0.0129999999999999,-5
1009,fibrous,stringy,2,2,7,7,0.25,1.1461,0.41,1.3424,0,-0.19630000000000014,0
1010,coarse,blunt,1,1,6,5,1.35,1.8451,4.9,2.3997,0,-0.5546000000000002,1
1011,round,blunt,1,1,5,5,66.53,3.5307,4.9,2.3997,0,1.1309999999999998,0
1012,beautiful,delightful,3,3,9,10,279.73,4.1543,9.2,2.6721,0,1.4822000000000002,-1
1013,beautiful,charming,3,2,9,8,279.73,4.1543,28.12,3.1569,1,0.9974000000000003,1
1014,delightful,charming,3,2,10,8,9.2,2.6721,28.12,3.1569,1,-0.4847999999999999,2
1015,free,charming,1,2,4,8,177.53,3.9569,28.12,3.1569,-1,0.8000000000000003,-4
1016,captivating,charming,4,2,11,8,0.16,0.9542,28.12,3.1569,2,-2.2026999999999997,3
1017,beautiful,graceful,3,2,9,8,279.73,4.1543,2.31,2.0755,1,2.0788,1
1018,delicate,graceful,3,2,8,8,9.51,2.6866,2.31,2.0755,1,0.6111,0
1019,willowy,graceful,3,2,7,8,0.06,0.6021,2.31,2.0755,1,-1.4733999999999998,-1
1020,beautiful,lustrous,3,2,9,8,279.73,4.1543,0.29,1.2041,1,2.9502,1
1021,beautiful,lovely,3,2,9,6,279.73,4.1543,95.16,3.6861,1,0.46819999999999995,3
1022,charming,lovely,2,2,8,6,28.12,3.1569,95.16,3.6861,0,-0.5292000000000003,2
1023,beautiful,elegant,3,3,9,7,279.73,4.1543,6.27,2.5065,0,1.6478000000000002,2
1024,refined,elegant,2,3,7,7,2.02,2.017,6.27,2.5065,-1,-0.48950000000000005,0
1025,high,dear,1,1,4,4,195.0,3.9976,223.43,4.0568,0,-0.05920000000000014,0
1026,precious,dear,2,1,8,4,23.35,3.0763,223.43,4.0568,1,-0.9805000000000001,4
1027,high,mellow,1,2,4,6,195.0,3.9976,3.0,2.1875,-1,1.8100999999999998,-2
1028,high,mighty,1,2,4,6,195.0,3.9976,26.57,3.1323,-1,0.8653,-2
1029,high,tall,1,1,4,4,195.0,3.9976,32.33,3.2175,0,0.7801,0
1030,improper,unlawful,3,3,8,8,1.12,1.7634,0.76,1.6021,0,0.1613,0
1031,improper,appropriate,3,4,8,11,1.12,1.7634,12.88,2.8182,-1,-1.0548,-3
1032,convenient,appropriate,3,4,10,11,8.55,2.6405,12.88,2.8182,-1,-0.1777000000000002,-1
1033,apply,appropriate,2,4,5,11,12.51,2.8055,12.88,2.8182,-2,-0.012700000000000156,-6
1034,bright,sparkling,1,2,6,9,44.41,3.3553,2.0,2.0128,-1,1.3425000000000002,-3
1035,witty,sparkling,2,2,5,9,3.2,2.2148,2.0,2.0128,0,0.20199999999999996,-4
1036,bright,shining,1,2,6,7,44.41,3.3553,9.82,2.7007,-1,0.6546000000000003,-1
1037,bright,vivid,1,2,6,5,44.41,3.3553,2.04,2.0212,-1,1.3341000000000003,1
1038,intense,vivid,2,2,7,5,10.2,2.7168,2.04,2.0212,0,0.6956000000000002,2
1039,pictorial,vivid,4,2,9,5,0.2,1.0414,2.04,2.0212,2,-0.9797999999999998,4
1040,bright,shiny,1,2,6,5,44.41,3.3553,7.8,2.601,-1,0.7543000000000002,1
1041,lustrous,shiny,2,2,8,5,0.29,1.2041,7.8,2.601,0,-1.3969,3
1042,bright,sunny,1,2,6,5,44.41,3.3553,7.67,2.5933,-1,0.762,1
1043,bright,luminous,1,3,6,8,44.41,3.3553,0.76,1.6021,-2,1.7532,-2
1044,bright,cheery,1,2,6,6,44.41,3.3553,1.06,1.7404,-1,1.6149000000000002,0
1045,mild,gentle,1,2,4,6,4.8,2.3909,16.55,2.9269,-1,-0.536,-2
1046,merciful,gentle,3,2,8,6,3.49,2.2529,16.55,2.9269,1,-0.6739999999999999,2
1047,quiet,gentle,2,2,5,6,117.22,3.7766,16.55,2.9269,0,0.8497000000000003,-1
1048,docile,gentle,2,2,6,6,0.53,1.4472,16.55,2.9269,0,-1.4796999999999998,0
1049,mild,kind,1,1,4,4,4.8,2.3909,590.69,4.4789,0,-2.0880000000000005,0
1050,gracious,kind,2,1,8,4,7.16,2.5635,590.69,4.4789,1,-1.9154000000000004,4
1051,sweet,kind,1,1,5,4,145.2,3.8696,590.69,4.4789,0,-0.6093000000000002,1
1052,charitable,kind,4,1,10,4,2.04,2.0212,590.69,4.4789,3,-2.4577000000000004,6
1053,nice,kind,1,1,4,4,649.51,4.5202,590.69,4.4789,0,0.04129999999999967,0
1054,tolerant,kind,3,1,8,4,1.27,1.8195,590.69,4.4789,2,-2.6594000000000007,4
1055,benevolent,kind,4,1,10,4,0.73,1.5798,590.69,4.4789,3,-2.8991000000000002,6
1056,gender,kind,2,1,6,4,2.8,2.1584,590.69,4.4789,1,-2.3205000000000005,2
1057,convinced,positive,2,3,9,8,20.8,3.0261,31.63,3.2079,-1,-0.18179999999999996,1
1058,conventional,positive,4,3,12,8,3.04,2.1931,31.63,3.2079,1,-1.0148000000000001,4
1059,additive,positive,3,3,8,8,0.22,1.0792,31.63,3.2079,0,-2.1287000000000003,0
1060,confident,positive,3,3,9,8,10.65,2.7356,31.63,3.2079,0,-0.47230000000000016,1
1061,brief,summary,1,3,5,7,14.35,2.8651,1.67,1.9345,-2,0.9305999999999999,-2
1062,brief,succinct,1,2,5,8,14.35,2.8651,0.24,1.1139,-1,1.7512,-3
1063,compact,succinct,2,2,7,8,1.69,1.9395,0.24,1.1139,0,0.8256000000000001,-1
1064,concise,succinct,2,2,7,8,0.43,1.3617,0.24,1.1139,0,0.24780000000000002,-1
1065,brief,abstract,1,2,5,8,14.35,2.8651,2.18,2.0492,-1,0.8159000000000001,-3
1066,summary,abstract,3,2,7,8,1.67,1.9345,2.18,2.0492,1,-0.1146999999999998,-1
1067,grave,dangerous,1,3,5,9,26.27,3.1274,74.84,3.5818,-2,-0.4543999999999997,-4
1068,wicked,dangerous,2,3,6,9,13.29,2.8319,74.84,3.5818,-1,-0.7498999999999998,-3
1069,risky,dangerous,2,3,5,9,7.71,2.5955,74.84,3.5818,-1,-0.9863,-4
1070,hazardous,dangerous,3,3,9,9,1.84,1.9777,74.84,3.5818,0,-1.6040999999999999,0
1071,unsafe,dangerous,2,3,6,9,1.51,1.8921,74.84,3.5818,-1,-1.6897,-3
1072,grave,dignified,1,3,5,9,26.27,3.1274,2.69,2.1399,-2,0.9875000000000003,-4
1073,certain,stated,2,2,7,6,85.37,3.639,3.61,2.2672,0,1.3718,1
1074,uninteresting,dry,4,1,13,3,0.31,1.2304,42.82,3.3395,3,-2.1091,10
1075,wry,dry,1,1,3,3,0.2,1.0414,42.82,3.3395,0,-2.2981,0
1076,arid,dry,2,1,4,3,0.31,1.2304,42.82,3.3395,1,-2.1091,1
1077,ironic,dry,3,1,6,3,6.12,2.4955,42.82,3.3395,2,-0.8440000000000003,3
1078,dull,dense,1,1,4,5,12.08,2.7903,2.12,2.0374,0,0.7528999999999999,-1
1079,dull,sleepy,1,2,4,6,12.08,2.7903,8.57,2.6415,-1,0.1487999999999996,-2
1080,dull,awkward,1,2,4,7,12.08,2.7903,14.31,2.8639,-1,-0.07360000000000033,-3
1081,gawky,awkward,2,2,5,7,0.27,1.1761,14.31,2.8639,0,-1.6878000000000002,-2
1082,untested,untried,3,2,8,7,0.16,0.9542,0.24,1.1139,1,-0.15969999999999984,1
1083,inner,intimate,2,3,5,8,9.94,2.7059,6.96,2.5514,-1,0.15450000000000008,-3
1084,informal,intimate,3,3,8,8,1.69,1.9395,6.96,2.5514,0,-0.6119000000000001,0
1085,inner,internal,2,3,5,8,9.94,2.7059,9.84,2.7016,-1,0.0043000000000001926,-3
1086,costly,sumptuous,2,2,6,9,1.55,1.9031,0.31,1.2304,0,0.6727000000000001,-3
1087,grand,sumptuous,1,2,5,9,63.02,3.5072,0.31,1.2304,-1,2.2768,-4
1088,costly,expensive,2,3,6,9,1.55,1.9031,27.94,3.1541,-1,-1.2510000000000001,-3
1089,dear,expensive,1,3,4,9,223.43,4.0568,27.94,3.1541,-2,0.9026999999999998,-5
1090,intermediate,medial,5,3,12,6,0.45,1.3802,0.41,1.3424,2,0.037800000000000056,6
